cluster_id,incident_title,event_type,business_function,primary_asset,scenario_title,scenario_statement,operational_impact,recovery_focus,evidence_count,evidence_strength,testing_candidate_flag,documentation_update_flag,runbook_review_flag,last_updated
CL-000078,Massachusetts Hospitals Experiencing Disruption Due to Cyberattack - The HIPAA Journal,CYBER_OPERATIONAL_DISRUPTION,IT Operations,UNKNOWN,CYBER_OPERATIONAL_DISRUPTION impacts IT Operations,"If CYBER_OPERATIONAL_DISRUPTION occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.658370
CL-000079,AWS outage disrupts logistics platforms - Transport Intelligence,OUTAGE_APPLICATION,Distribution Operations,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.658857
CL-000080,State officials: Blue Cross-Blue Shield breach could compromise one-third of all residents' data - Daily Montanan,SECURITY_BREACH,Vendor Risk,UNKNOWN,SECURITY_BREACH impacts Vendor Risk,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to vendor risk.",Potential disruption to Vendor Risk,Investigate recovery procedures,1,Weak,True,True,True,2026-04-17T17:38:49.659350
CL-000081,"PepsiCo reduces downtime and costs, cuts device build time by 50% with Intune - Microsoft",OUTAGE_APPLICATION,Distribution Operations,endpoints,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting endpoints, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.659849
CL-000082,Hawaiian + Alaska Hit By Second Tech/Website Outage This Week - Beat of Hawaii,OUTAGE_APPLICATION,Identity & Access Management,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.660328
CL-000083,Combatting Supply Chain Cyber Threats: Safeguarding Data and Protecting Digital Supply Chains in a Rapidly Evolving Cyber Landscape - Foley & Lardner LLP,UNKNOWN,Cybersecurity,UNKNOWN,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.660791
CL-000084,Japanese retailer Askul confirms data leak after cyberattack claimed by Russia-linked group - The Record from Recorded Future News,SECURITY_BREACH,Cybersecurity,UNKNOWN,SECURITY_BREACH impacts Cybersecurity,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,True,True,True,2026-04-17T17:38:49.661484
CL-000085,"At least seven dead after UPS plane crashes in fireball on takeoff from Louisville, Kentucky - Reuters",UNKNOWN,Physical Infrastructure,UNKNOWN,UNKNOWN impacts Physical Infrastructure,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to physical infrastructure.",Potential disruption to Physical Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.662083
CL-000086,TRACKING RANSOMWARE : OCTOBER 2025 - cyfirma,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-17T17:38:49.662609
CL-000087,County Library system can't get new books after its distributor ceases operations - The Palm Beach Post,UNKNOWN,Procurement & Supply Chain,systems,UNKNOWN impacts Procurement & Supply Chain,"If UNKNOWN occurs affecting systems, potential disruption to procurement & supply chain.",Potential disruption to Procurement & Supply Chain,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.663112
CL-000088,SAP apologizes for customer portal outage - theregister.com,OUTAGE_APPLICATION,Order Processing,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.663606
CL-000089,Cloudflare traces hours-long outage to one single file - Axios,OUTAGE_APPLICATION,Supplier Integration,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.664082
CL-000090,"Cloudflare outage on November 18, 2025 - The Cloudflare Blog",OUTAGE_APPLICATION,Network Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.664588
CL-000091,Why Supply Chain Automation Fails Before It Even Starts - Logistics Viewpoints,UNKNOWN,Transportation & Logistics,UNKNOWN,UNKNOWN impacts Transportation & Logistics,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to transportation & logistics.",Potential disruption to Transportation & Logistics,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.665071
CL-000092,Hundreds of Salesforce customers hit by yet another third-party vendor breach - CyberScoop,SECURITY_BREACH,Vendor Risk,UNKNOWN,SECURITY_BREACH impacts Vendor Risk,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to vendor risk.",Potential disruption to Vendor Risk,Investigate recovery procedures,1,Weak,True,True,True,2026-04-17T17:38:49.665569
CL-000093,Comcast to pay $1.5 million US fine after vendor data breach - Reuters,SECURITY_BREACH,Vendor Risk,UNKNOWN,SECURITY_BREACH impacts Vendor Risk,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to vendor risk.",Potential disruption to Vendor Risk,Investigate recovery procedures,1,Weak,True,True,True,2026-04-17T17:38:49.666060
CL-000094,Bankrupt auto supplier First Brands sues ex-CEO for allegedly misusing company funds - Car Dealership Guy News,UNKNOWN,Procurement & Supply Chain,UNKNOWN,UNKNOWN impacts Procurement & Supply Chain,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to procurement & supply chain.",Potential disruption to Procurement & Supply Chain,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.666563
CL-000095,Microsoft loses two senior AI infrastructure leaders as data center pressures mount - Network World,UNKNOWN,Network Infrastructure,systems,UNKNOWN impacts Network Infrastructure,"If UNKNOWN occurs affecting systems, potential disruption to network infrastructure.",Potential disruption to Network Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.667035
CL-000096,Australia's Optus blames vandals for network outage near Melbourne - Data Center Dynamics,OUTAGE_NETWORK,Transportation & Logistics,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.667520
CL-000097,"Gainsight Verifies Token Breach Linked to Salesforce Advisory, Issues New IOCs - gbhackers.com",SECURITY_BREACH,Identity & Access Management,UNKNOWN,SECURITY_BREACH impacts Identity & Access Management,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to identity & access management.",Potential disruption to Identity & Access Management,Investigate recovery procedures,1,Weak,True,True,True,2026-04-17T17:38:49.668009
CL-000098,AI and EVs: A New Era of Zero-Failure Delivery for Small Businesses - Entrepreneur India,UNKNOWN,Transportation & Logistics,UNKNOWN,UNKNOWN impacts Transportation & Logistics,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to transportation & logistics.",Potential disruption to Transportation & Logistics,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.668488
CL-000099,Shopify Outage Resolved After Disrupting Cyber Monday Sales - The Tech Buzz,OUTAGE_APPLICATION,Identity & Access Management,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.668956
CL-000100,Comcast to pay $1.5M to resolve vendor data breach - Light Reading,SECURITY_BREACH,Vendor Risk,UNKNOWN,SECURITY_BREACH impacts Vendor Risk,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to vendor risk.",Potential disruption to Vendor Risk,Investigate recovery procedures,1,Weak,True,True,True,2026-04-17T17:38:49.669469
CL-000101,"Delta Cancels 100s of Flights at Detroit Amid Outage, DL208 Diverted and More - Aviation A2Z",OUTAGE_APPLICATION,Supplier Integration,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.669948
CL-000102,Frantic Friday: Network Outage Brings Delta's Detroit Hub To A Halt - Simple Flying,OUTAGE_NETWORK,Supplier Integration,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.670417
CL-000103,Flights resume at Edinburgh Airport after air traffic control outage - BBC,OUTAGE_APPLICATION,Supplier Integration,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.670909
CL-000104,Did the lights go out during the 15-year-old's surgery? Durrës Hospital responds: There was no power outage - voxnews.al,OUTAGE_APPLICATION,Supplier Integration,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.671396
CL-000105,"Cloudflare reports issues with dashboard and related APIs, weeks after major outage - Data Center Dynamics",OUTAGE_APPLICATION,Transportation & Logistics,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.671867
CL-000106,The Almaviva Cyber Incident: Supply-Chain Compromise and Critical Infrastructure Risks in Italy - debuglies.com,OUTAGE_APPLICATION,Cybersecurity,systems,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting systems, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.672322
CL-000107,"Banks, Shopify, Zoom Hit Again as Cloudflare's Second December Outage Reveals Your Internet's Fragility - International Business Times UK",OUTAGE_APPLICATION,Identity & Access Management,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.672798
CL-000108,Your cloud provider is a single point of failure - cio.com,UNKNOWN,Cloud Infrastructure,cloud,UNKNOWN impacts Cloud Infrastructure,"If UNKNOWN occurs affecting cloud, potential disruption to cloud infrastructure.",Potential disruption to Cloud Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.673300
CL-000109,"Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber",SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-17T17:38:49.673767
CL-000110,Global Business Essentials: Global Shipping Risks and the Growing Need for Comprehensive Logistics Insurance - 삼성물산,UNKNOWN,Transportation & Logistics,UNKNOWN,UNKNOWN impacts Transportation & Logistics,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to transportation & logistics.",Potential disruption to Transportation & Logistics,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.674242
CL-000111,"A 10-Hour Data Center Outage Is Testing the Ambitions of KKR, GIP - Insurance Journal",OUTAGE_APPLICATION,Physical Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.674716
CL-000112,New HIPAA Regulations in 2026 - The HIPAA Journal,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.675202
CL-000113,What are the HIPAA Photography Rules? Updated for 2026. - The HIPAA Journal,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.675664
CL-000114,"Third-Party Data Breaches: What You Need to Know | Mitratech Holdings, Inc - JD Supra",SECURITY_BREACH,Vendor Risk,UNKNOWN,SECURITY_BREACH impacts Vendor Risk,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to vendor risk.",Potential disruption to Vendor Risk,Investigate recovery procedures,1,Weak,True,True,True,2026-04-17T17:38:49.676143
CL-000115,"Third-Party Data Breaches: What You Need to Know | Mitratech Holdings, Inc - JD Supra",SECURITY_BREACH,Vendor Risk,UNKNOWN,SECURITY_BREACH impacts Vendor Risk,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to vendor risk.",Potential disruption to Vendor Risk,Investigate recovery procedures,1,Weak,True,True,True,2026-04-17T17:38:49.676628
CL-000116,Company faces legal action after worker seriously hurt in vending machine fall - Kent Online,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.677154
CL-000117,Critical infrastructure facing cyber surge in OT and supply chains in 2026 | feature | SC Media - SC Media,UNKNOWN,Cybersecurity,systems,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting systems, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.677655
CL-000118,Domo halts production at German plants as insolvency talks collapse - Plastics News,UNKNOWN,Procurement & Supply Chain,UNKNOWN,UNKNOWN impacts Procurement & Supply Chain,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to procurement & supply chain.",Potential disruption to Procurement & Supply Chain,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.678135
CL-000119,Major phone carrier suffers significant service outage - Yahoo,OUTAGE_APPLICATION,Transportation & Logistics,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.678596
CL-000120,Verizon outage leaves millions without basic connectivity [Update] - Android Police,OUTAGE_APPLICATION,Transportation & Logistics,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.679089
CL-000121,Verizon Credit Incoming? Senator Wants to Force Carriers to Issue Outage Refunds - Yahoo,OUTAGE_APPLICATION,Transportation & Logistics,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.679587
CL-000122,The Blast Radius Problem: What the 2025 AWS Outage Reveals About Healthcare’s Cloud Fragility - MedCity News,OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.680061
CL-000123,Verizon promises account credits to those impacted by outage - qz.com,OUTAGE_APPLICATION,Transportation & Logistics,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.680532
CL-000124,A part that broke on a UPS plane that crashed in Kentucky failed 4 times on other planes years ago - AP News,UNKNOWN,Physical Infrastructure,UNKNOWN,UNKNOWN impacts Physical Infrastructure,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to physical infrastructure.",Potential disruption to Physical Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.681024
CL-000125,How to claim Verizon's $20 credit for Wednesday's service outage - Engadget,OUTAGE_APPLICATION,Transportation & Logistics,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.681492
CL-000126,"Verizon Outage Caused by Software Issue, but Details Are Still Elusive - CNET",OUTAGE_APPLICATION,Network Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.681955
CL-000127,Cloud Compliance Requirements: What You Need to Know - appinventiv.com,UNKNOWN,Compliance & Governance,cloud,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting cloud, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.682448
CL-000128,How Russian Military Logistics Sustains Frontline Combat - Военное дело,UNKNOWN,Transportation & Logistics,UNKNOWN,UNKNOWN impacts Transportation & Logistics,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to transportation & logistics.",Potential disruption to Transportation & Logistics,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.682928
CL-000129,New Reports Reinforce Cyberattack’s Role in Maduro Capture Blackout - SecurityWeek,UNKNOWN,IT Operations,UNKNOWN,UNKNOWN impacts IT Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to it operations.",Potential disruption to IT Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.683400
CL-000130,Verizon outage: Analysts and more weigh in - Fierce Network,OUTAGE_NETWORK,Network Infrastructure,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.683861
CL-000131,Shipping delay exposure and its structural cost for corporate decision makers - Logistics Middle East,UNKNOWN,Transportation & Logistics,UNKNOWN,UNKNOWN impacts Transportation & Logistics,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to transportation & logistics.",Potential disruption to Transportation & Logistics,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.684349
CL-000132,"The Verizon outage reveals the end of five-nine network reliability, and it could happen again - PhoneArena",OUTAGE_NETWORK,Network Infrastructure,network,Network outage disrupts connectivity,"If OUTAGE_NETWORK occurs affecting network, systems and users lose access to services.",Systems and users lose access to services,"Restore network paths, reroute traffic, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.684822
CL-000133,Sandworm’s DynoWiper Attack Targeting Polish Combined Heat and Power and Renewable Energy Management Systems: Incident Analysis and Lessons Learned - Rescana,DESTRUCTIVE_CYBER_ATTACK,Security Operations,systems,DESTRUCTIVE_CYBER_ATTACK impacts Security Operations,"If DESTRUCTIVE_CYBER_ATTACK occurs affecting systems, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.685315
CL-000134,TikTok Data Center Outage Triggers Trust Crisis for New US Owners - WIRED,OUTAGE_APPLICATION,Physical Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.685800
CL-000135,Oracle says data center outage causing issues faced by US TikTok users - Reuters,OUTAGE_APPLICATION,Physical Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.686269
CL-000136,The 8 most innovative logistics companies using AI routing today - Transportation and Logistics International,UNKNOWN,Transportation & Logistics,UNKNOWN,UNKNOWN impacts Transportation & Logistics,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to transportation & logistics.",Potential disruption to Transportation & Logistics,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.686750
CL-000137,Oracle Data Center Power Outage Disrupts TikTok For Users In US Days After App's High-Stakes Joint Venture Deal - Yahoo Finance,OUTAGE_APPLICATION,Physical Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.687242
CL-000138,Wargames Keep Warning Us About Congested Logistics—It’s Time to Take Action - Modern War Institute -,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.687711
CL-000139,Liquor store owners report empty shelves due to ABC warehouse delays - WLBT,UNKNOWN,Distribution Operations,UNKNOWN,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.688200
CL-000140,Opinion: SpaceX’s satellite data center plan is unhinged - Fierce Network,UNKNOWN,Network Infrastructure,network,UNKNOWN impacts Network Infrastructure,"If UNKNOWN occurs affecting network, potential disruption to network infrastructure.",Potential disruption to Network Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.688666
CL-000141,DynoWiper Wiper Malware Launches Destructive Attacks On Energy Firms - cyberpress.org,DESTRUCTIVE_CYBER_ATTACK,Security Operations,systems,DESTRUCTIVE_CYBER_ATTACK impacts Security Operations,"If DESTRUCTIVE_CYBER_ATTACK occurs affecting systems, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.689146
CL-000142,Azure outage disrupts VMs and identity services for over 10 hours - Network World,OUTAGE_IDENTITY,Cloud Infrastructure,identity,Identity service outage disrupts workforce access,"If OUTAGE_IDENTITY occurs affecting identity, users cannot access systems, operations slow or stop.","Users cannot access systems, operations slow or stop","Restore identity services, enable break-glass access, validate authentication paths",1,Weak,True,True,True,2026-04-17T17:38:49.689656
CL-000143,How Agentic AI Is Redefining Route Optimization in Last-Mile Delivery - Inbound Logistics,UNKNOWN,Transportation & Logistics,UNKNOWN,UNKNOWN impacts Transportation & Logistics,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to transportation & logistics.",Potential disruption to Transportation & Logistics,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.690138
CL-000144,"Surajkund fair tragedy: Ride owner, equipment supplier arrested after ‘tsunami’ swing collapse kills cop; - The Times of India",UNKNOWN,Procurement & Supply Chain,UNKNOWN,UNKNOWN impacts Procurement & Supply Chain,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to procurement & supply chain.",Potential disruption to Procurement & Supply Chain,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.690610
CL-000145,Top 10 ransomware targets by industry - TechTarget,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-17T17:38:49.691089
CL-000146,AI-fuelled supply chain cyber attacks surge in Asia-Pacific - SecurityBrief Australia,UNKNOWN,Cybersecurity,UNKNOWN,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.691582
CL-000147,"Canada Goose Data Breach: ShinyHunters Leak Exposes 600,000 Customer Records via Third-Party Payment Processor - Rescana",SECURITY_BREACH,Vendor Risk,UNKNOWN,SECURITY_BREACH impacts Vendor Risk,"If SECURITY_BREACH occurs affecting UNKNOWN, potential disruption to vendor risk.",Potential disruption to Vendor Risk,Investigate recovery procedures,1,Weak,True,True,True,2026-04-17T17:38:49.692048
CL-000148,4 tips for CFOs leading ERP transitions - CFO Dive,UNKNOWN,Order Processing,erp,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting erp, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.692504
CL-000149,Top 15 Logistics AI Use Cases & Examples - AIMultiple,UNKNOWN,Transportation & Logistics,UNKNOWN,UNKNOWN impacts Transportation & Logistics,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to transportation & logistics.",Potential disruption to Transportation & Logistics,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.693125
CL-000150,Amazon’s cloud ‘hit by two outages caused by AI tools last year’ - The Guardian,UNKNOWN,Cloud Infrastructure,cloud,UNKNOWN impacts Cloud Infrastructure,"If UNKNOWN occurs affecting cloud, potential disruption to cloud infrastructure.",Potential disruption to Cloud Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.693630
CL-000151,LEO - MiLogin outage affecting access to UIA online services - State of Michigan (.gov),OUTAGE_APPLICATION,Supplier Integration,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.694137
CL-000152,Supply chain cyber risk strategies shift toward resilience - Supply Chain Management Review,UNKNOWN,Cybersecurity,UNKNOWN,UNKNOWN impacts Cybersecurity,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to cybersecurity.",Potential disruption to Cybersecurity,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.694646
CL-000153,Warning over waste disposal amid Kent flytipping clear-ups - BBC,UNKNOWN,Physical Infrastructure,UNKNOWN,UNKNOWN impacts Physical Infrastructure,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to physical infrastructure.",Potential disruption to Physical Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.695128
CL-000154,Pakistan’s Digitisation Drive Faces A Critical Test: Can Mission-Critical Systems Stay Resilient? - The Friday Times,UNKNOWN,Order Processing,systems,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting systems, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.695628
